"id","created_at","updated_at","generation_level","amount","percentage","referral_pool","status","ppv","tv","tier","qualification_reason","tx_amount","rpr","calculated_at","buyer_id","purchase_id","user_id","is_sponsor_earning","sponsor_withhold_amount","referral_system_type","earning_type"
158,2025-11-07 01:28:53.761 +0300,2025-11-07 01:28:53.761 +0300,4,1.578947,0.0250,18.947369,PENDING,,,,mlm_upline_l4_qualified,60.000000,0.3000,2025-11-07 01:28:53.753 +0300,7831,531,13,false,,3,NETWORK
159,2025-11-07 01:28:53.795 +0300,2025-11-07 01:28:53.795 +0300,4,5.263157,0.0250,63.157895,PENDING,,,,mlm_upline_l4_qualified,200.000000,0.3000,2025-11-07 01:28:53.788 +0300,9706,532,13,false,,3,NETWORK
160,2025-11-07 01:28:53.881 +0300,2025-11-07 01:28:53.881 +0300,8,0.394736,0.0250,4.736842,PENDING,,,,mlm_upline_l8_qualified,15.000000,0.3000,2025-11-07 01:28:53.874 +0300,2286,533,13,false,,3,NETWORK
161,2025-11-07 01:28:53.952 +0300,2025-11-07 01:28:53.952 +0300,3,0.394736,0.0250,4.736842,PENDING,,,,mlm_upline_l3_qualified,15.000000,0.3000,2025-11-07 01:28:53.944 +0300,12032,534,13,false,,3,NETWORK
162,2025-11-07 01:28:53.983 +0300,2025-11-07 01:28:53.983 +0300,3,2.763157,0.0250,33.157895,PENDING,,,,mlm_upline_l3_qualified,105.000000,0.3000,2025-11-07 01:28:53.976 +0300,12032,535,13,false,,3,NETWORK
163,2025-11-07 01:28:54.184 +0300,2025-11-07 01:28:54.184 +0300,6,0.394736,0.0250,4.736842,PENDING,,,,mlm_upline_l6_qualified,15.000000,0.3000,2025-11-07 01:28:54.176 +0300,6771,538,13,false,,3,NETWORK
164,2025-11-07 01:28:54.367 +0300,2025-11-07 01:28:54.367 +0300,9,0.789473,0.0250,9.473684,PENDING,,,,mlm_upline_l9_qualified,30.000000,0.3000,2025-11-07 01:28:54.363 +0300,12297,540,13,false,,3,NETWORK
165,2025-11-07 01:28:54.460 +0300,2025-11-07 01:28:54.460 +0300,8,0.394736,0.0250,4.736842,PENDING,,,,mlm_upline_l8_qualified,15.000000,0.3000,2025-11-07 01:28:54.454 +0300,12288,541,13,false,,3,NETWORK
166,2025-11-07 01:28:54.499 +0300,2025-11-07 01:28:54.499 +0300,3,0.394736,0.0250,4.736842,PENDING,,,,mlm_upline_l3_qualified,15.000000,0.3000,2025-11-07 01:28:54.492 +0300,5239,542,13,false,,3,NETWORK
167,2025-11-07 01:28:54.582 +0300,2025-11-07 01:28:54.582 +0300,5,1.315789,0.0250,15.789474,PENDING,,,,mlm_upline_l5_qualified,50.000000,0.3000,2025-11-07 01:28:54.575 +0300,9675,543,13,false,,3,NETWORK
168,2025-11-07 01:28:54.662 +0300,2025-11-07 01:28:54.662 +0300,8,3.894736,0.0250,46.736842,PENDING,,,,mlm_upline_l8_qualified,148.000000,0.3000,2025-11-07 01:28:54.655 +0300,3491,544,13,false,,3,NETWORK
169,2025-11-07 01:28:54.745 +0300,2025-11-07 01:28:54.745 +0300,6,0.394736,0.0250,4.736842,PENDING,,,,mlm_upline_l6_qualified,15.000000,0.3000,2025-11-07 01:28:54.696 +0300,10419,545,13,false,,3,NETWORK
170,2025-11-07 01:28:54.789 +0300,2025-11-07 01:28:54.789 +0300,4,0.394736,0.0250,4.736842,PENDING,,,,mlm_upline_l4_qualified,15.000000,0.3000,2025-11-07 01:28:54.779 +0300,2203,546,13,false,,3,NETWORK
171,2025-11-07 01:28:54.854 +0300,2025-11-07 01:28:54.854 +0300,4,0.394736,0.0250,4.736842,PENDING,,,,mlm_upline_l4_qualified,15.000000,0.3000,2025-11-07 01:28:54.845 +0300,2203,547,13,false,,3,NETWORK
172,2025-11-07 01:28:54.888 +0300,2025-11-07 01:28:54.888 +0300,3,3.157894,0.0250,37.894737,PENDING,,,,mlm_upline_l3_qualified,120.000000,0.3000,2025-11-07 01:28:54.881 +0300,11983,549,13,false,,3,NETWORK
173,2025-11-07 01:28:54.958 +0300,2025-11-07 01:28:54.958 +0300,6,0.789473,0.0250,9.473684,PENDING,,,,mlm_upline_l6_qualified,30.000000,0.3000,2025-11-07 01:28:54.951 +0300,3124,554,13,false,,3,NETWORK
174,2025-11-07 01:28:54.986 +0300,2025-11-07 01:28:54.986 +0300,3,1.578947,0.0250,18.947369,PENDING,,,,mlm_upline_l3_qualified,60.000000,0.3000,2025-11-07 01:28:54.979 +0300,6932,555,13,false,,3,NETWORK
2866,2025-12-03 19:29:02.485 +0300,2025-12-03 19:29:02.485 +0300,5,0.356250,0.0250,4.275000,PENDING,,,,mlm_upline_l5_qualified,14.250000,0.3000,2025-12-03 19:29:02.478 +0300,66,2401,13,false,,3,NETWORK
176,2025-11-07 01:28:55.148 +0300,2025-11-07 01:28:55.148 +0300,4,2.368421,0.0250,28.421053,PENDING,,,,mlm_upline_l4_qualified,90.000000,0.3000,2025-11-07 01:28:55.097 +0300,7590,558,13,false,,3,NETWORK
177,2025-11-07 01:28:55.371 +0300,2025-11-07 01:28:55.371 +0300,5,1.184210,0.0250,14.210526,PENDING,,,,mlm_upline_l5_qualified,45.000000,0.3000,2025-11-07 01:28:55.365 +0300,13453,568,13,false,,3,NETWORK
178,2025-11-07 01:28:55.458 +0300,2025-11-07 01:28:55.458 +0300,7,0.394736,0.0250,4.736842,PENDING,,,,mlm_upline_l7_qualified,15.000000,0.3000,2025-11-07 01:28:55.450 +0300,13465,569,13,false,,3,NETWORK
179,2025-11-07 01:28:55.665 +0300,2025-11-07 01:28:55.665 +0300,5,0.394736,0.0250,4.736842,PENDING,,,,mlm_upline_l5_qualified,15.000000,0.3000,2025-11-07 01:28:55.658 +0300,13515,572,13,false,,3,NETWORK
180,2025-11-07 01:28:55.746 +0300,2025-11-07 01:28:55.746 +0300,5,0.394736,0.0250,4.736842,PENDING,,,,mlm_upline_l5_qualified,15.000000,0.3000,2025-11-07 01:28:55.695 +0300,13517,573,13,false,,3,NETWORK
181,2025-11-07 01:28:55.779 +0300,2025-11-07 01:28:55.779 +0300,4,0.789473,0.0250,9.473684,PENDING,,,,mlm_upline_l4_qualified,30.000000,0.3000,2025-11-07 01:28:55.772 +0300,13518,574,13,false,,3,NETWORK
182,2025-11-07 01:28:55.851 +0300,2025-11-07 01:28:55.851 +0300,4,1.315789,0.0250,15.789474,PENDING,,,,mlm_upline_l4_qualified,50.000000,0.3000,2025-11-07 01:28:55.844 +0300,9706,575,13,false,,3,NETWORK
183,2025-11-07 01:28:55.941 +0300,2025-11-07 01:28:55.941 +0300,10,4.673684,0.0250,56.084210,PENDING,,,,mlm_upline_l10_qualified,177.600000,0.3000,2025-11-07 01:28:55.900 +0300,11815,576,13,false,,3,NETWORK
184,2025-11-07 01:28:55.984 +0300,2025-11-07 01:28:55.984 +0300,6,3.552631,0.0250,42.631579,PENDING,,,,mlm_upline_l6_qualified,135.000000,0.3000,2025-11-07 01:28:55.977 +0300,7440,577,13,false,,3,NETWORK
185,2025-11-07 01:28:56.070 +0300,2025-11-07 01:28:56.070 +0300,5,1.315789,0.0250,15.789474,PENDING,,,,mlm_upline_l5_qualified,50.000000,0.3000,2025-11-07 01:28:56.062 +0300,5341,578,13,false,,3,NETWORK
3039,2025-12-04 19:28:35.710 +0300,2025-12-04 19:28:35.710 +0300,1,150.000000,0.1500,200.000000,PENDING,,,,unified_limitless_l1,1000.000000,0.2000,2025-12-04 19:28:35.707 +0300,4558,2417,314,false,,5,NETWORK
187,2025-11-07 01:28:56.344 +0300,2025-11-07 01:28:56.344 +0300,5,0.789473,0.0250,9.473684,PENDING,,,,mlm_upline_l5_qualified,30.000000,0.3000,2025-11-07 01:28:56.294 +0300,13846,584,13,false,,3,NETWORK
188,2025-11-07 01:28:56.374 +0300,2025-11-07 01:28:56.374 +0300,4,0.394736,0.0250,4.736842,PENDING,,,,mlm_upline_l4_qualified,15.000000,0.3000,2025-11-07 01:28:56.367 +0300,13908,585,13,false,,3,NETWORK
189,2025-11-07 01:28:56.682 +0300,2025-11-07 01:28:56.682 +0300,3,0.394736,0.0250,4.736842,PENDING,,,,mlm_upline_l3_qualified,15.000000,0.3000,2025-11-07 01:28:56.674 +0300,2209,590,13,false,,3,NETWORK
190,2025-11-07 01:28:56.756 +0300,2025-11-07 01:28:56.756 +0300,4,0.394736,0.0250,4.736842,PENDING,,,,mlm_upline_l4_qualified,15.000000,0.3000,2025-11-07 01:28:56.749 +0300,2208,591,13,false,,3,NETWORK
191,2025-11-07 01:28:56.889 +0300,2025-11-07 01:28:56.889 +0300,5,0.394736,0.0250,4.736842,PENDING,,,,mlm_upline_l5_qualified,15.000000,0.3000,2025-11-07 01:28:56.881 +0300,13985,593,13,false,,3,NETWORK
192,2025-11-07 01:28:56.972 +0300,2025-11-07 01:28:56.972 +0300,5,2.368421,0.0250,28.421053,PENDING,,,,mlm_upline_l5_qualified,90.000000,0.3000,2025-11-07 01:28:56.965 +0300,14164,594,13,false,,3,NETWORK
193,2025-11-07 01:28:57.056 +0300,2025-11-07 01:28:57.056 +0300,6,0.394736,0.0250,4.736842,PENDING,,,,mlm_upline_l6_qualified,15.000000,0.3000,2025-11-07 01:28:57.049 +0300,3961,596,13,false,,3,NETWORK
194,2025-11-07 01:28:57.093 +0300,2025-11-07 01:28:57.093 +0300,5,0.394736,0.0250,4.736842,PENDING,,,,mlm_upline_l5_qualified,15.000000,0.3000,2025-11-07 01:28:57.085 +0300,14179,597,13,false,,3,NETWORK
195,2025-11-07 01:28:57.589 +0300,2025-11-07 01:28:57.589 +0300,5,0.394736,0.0250,4.736842,PENDING,,,,mlm_upline_l5_qualified,15.000000,0.3000,2025-11-07 01:28:57.582 +0300,12539,645,13,false,,3,NETWORK
196,2025-11-07 01:28:58.068 +0300,2025-11-07 01:28:58.068 +0300,3,0.394736,0.0250,4.736842,PENDING,,,,mlm_upline_l3_qualified,15.000000,0.3000,2025-11-07 01:28:58.061 +0300,14970,656,13,false,,3,NETWORK
197,2025-11-07 01:28:58.142 +0300,2025-11-07 01:28:58.142 +0300,4,0.394736,0.0250,4.736842,PENDING,,,,mlm_upline_l4_qualified,15.000000,0.3000,2025-11-07 01:28:58.092 +0300,1141,657,13,false,,3,NETWORK
198,2025-11-07 01:28:58.187 +0300,2025-11-07 01:28:58.187 +0300,6,3.947368,0.0250,47.368421,PENDING,,,,mlm_upline_l6_qualified,150.000000,0.3000,2025-11-07 01:28:58.180 +0300,4647,659,13,false,,3,NETWORK
199,2025-11-07 01:28:58.260 +0300,2025-11-07 01:28:58.260 +0300,3,3.947368,0.0250,47.368421,PENDING,,,,mlm_upline_l3_qualified,150.000000,0.3000,2025-11-07 01:28:58.251 +0300,15112,660,13,false,,3,NETWORK
