"id","created_at","updated_at","earning_type","level","percentage","amount_usdt","status","is_grace_period","recipient_was_active","compression_applied","original_level","buyer_id","purchase_id","recipient_id","shares_count","distribution_id"
716,2025-11-26 06:55:48.280 +0300,2025-11-26 06:55:48.280 +0300,NETWORK,4,2.00,5.000000,PENDING,true,true,false,4,523,105,377,,
717,2025-11-26 06:55:48.281 +0300,2025-11-26 06:55:48.281 +0300,NETWORK,5,2.00,5.000000,PENDING,true,true,false,5,523,105,54,,
719,2025-11-26 06:55:48.283 +0300,2025-11-26 06:55:48.283 +0300,NETWORK,7,2.00,5.000000,PENDING,true,true,false,7,523,105,24,,
720,2025-11-26 06:55:48.286 +0300,2025-11-26 06:55:48.286 +0300,LEGENDS_POOL,,,12.500000,PENDING,false,true,false,,523,105,,,
721,2025-11-26 07:13:18.291 +0300,2025-11-26 07:13:18.291 +0300,NETWORK,1,10.00,25.000000,PENDING,true,true,false,1,1224,106,134,,
724,2025-11-26 07:13:18.294 +0300,2025-11-26 07:13:18.294 +0300,NETWORK,4,2.00,5.000000,PENDING,true,true,false,4,1224,106,24,,
725,2025-11-26 07:13:18.295 +0300,2025-11-26 07:13:18.295 +0300,NETWORK,5,2.00,5.000000,PENDING,true,true,false,5,1224,106,34,,
726,2025-11-26 07:13:18.298 +0300,2025-11-26 07:13:18.298 +0300,BONUS_POOL,6,2.00,5.000000,PENDING,false,true,false,,1224,106,,,
727,2025-11-26 07:13:18.301 +0300,2025-11-26 07:13:18.301 +0300,BONUS_POOL,7,2.00,5.000000,PENDING,false,true,false,,1224,106,,,
728,2025-11-26 07:13:18.303 +0300,2025-11-26 07:13:18.303 +0300,LEGENDS_POOL,,,12.500000,PENDING,false,true,false,,1224,106,,,
730,2025-11-26 08:09:48.373 +0300,2025-11-26 08:09:48.373 +0300,NETWORK,2,5.00,50.000000,PENDING,true,true,false,2,404,107,21,,
731,2025-11-26 08:09:48.375 +0300,2025-11-26 08:09:48.375 +0300,NETWORK,3,2.00,20.000000,PENDING,true,true,false,3,404,107,22,,
733,2025-11-26 08:09:48.376 +0300,2025-11-26 08:09:48.376 +0300,NETWORK,5,2.00,20.000000,PENDING,true,true,false,5,404,107,24,,
734,2025-11-26 08:09:48.377 +0300,2025-11-26 08:09:48.377 +0300,NETWORK,6,2.00,20.000000,PENDING,true,true,false,6,404,107,34,,
735,2025-11-26 08:09:48.381 +0300,2025-11-26 08:09:48.381 +0300,BONUS_POOL,7,2.00,20.000000,PENDING,false,true,false,,404,107,,,
736,2025-11-26 08:09:48.384 +0300,2025-11-26 08:09:48.384 +0300,LEGENDS_POOL,,,50.000000,PENDING,false,true,false,,404,107,,,
738,2025-11-26 08:24:18.389 +0300,2025-11-26 08:24:18.389 +0300,NETWORK,2,5.00,50.000000,PENDING,true,true,false,2,243,108,54,,
740,2025-11-26 08:24:18.391 +0300,2025-11-26 08:24:18.391 +0300,NETWORK,4,2.00,20.000000,PENDING,true,true,false,4,243,108,24,,
741,2025-11-26 08:24:18.392 +0300,2025-11-26 08:24:18.392 +0300,NETWORK,5,2.00,20.000000,PENDING,true,true,false,5,243,108,34,,
